State,Total outdoor recreation value added (thousands of dollars),Percent of total value added1,Total outdoor recreation employment,Percent of total wage and salary employment1,Total outdoor recreation compensation (thousands of dollars),Percent of total compensation1
al,"4,228,572",1.9,"55,648",2.7,"2,116,218",1.6
ak,"1,573,106",3.2,"17,773",5.4,"981,020",3.4
az,"7,650,277",2,"95,183",3.2,"4,445,920",2.1
ar,"2,909,717",2.2,"37,089",2.9,"1,528,988",2
ca,"44,498,223",1.5,"488,755",2.8,"25,765,580",1.5
co,"9,556,036",2.5,"120,063",4.3,"5,673,406",2.5
ct,"3,297,520",1.2,"41,721",2.6,"1,862,133",1.3
de,"1,140,846",1.5,"14,347",3.2,"548,758",1.6
dc,"1,214,706",0.8,"12,809",1.7,"750,662",0.7
fl,"33,181,722",3,"384,198",4.3,"17,838,503",2.9
ga,"10,802,780",1.7,"131,490",2.9,"6,248,763",1.9
hi,"3,160,049",3.8,"43,808",7,"2,107,002",4.4
id,"2,243,621",2.7,"29,867",3.8,"1,195,526",2.5
il,"13,659,718",1.6,"147,565",2.5,"7,747,245",1.6
in,"9,845,722",2.6,"95,249",3.1,"4,799,989",2.4
ia,"3,567,939",1.8,"42,877",2.7,"1,719,445",1.7
ks,"3,032,363",1.7,"35,247",2.4,"1,451,874",1.6
ky,"4,049,475",1.9,"46,957",2.4,"1,952,504",1.6
la,"5,507,208",2.3,"55,729",2.9,"2,504,459",2
me,"2,269,759",3.3,"28,368",4.6,"1,093,840",2.7
md,"5,511,424",1.3,"69,377",2.6,"3,364,806",1.4
ma,"7,693,482",1.3,"90,606",2.6,"4,654,922",1.4
mi,"9,518,574",1.8,"108,673",2.6,"4,627,965",1.5
mn,"8,405,894",2.2,"89,331",3.1,"4,322,553",2
ms,"2,641,927",2.3,"29,375",2.5,"1,148,407",1.8
mo,"6,451,039",2,"79,299",2.8,"3,486,998",1.8
mt,"2,236,881",4.3,"26,169",5.4,"1,117,116",3.8
ne,"2,181,596",1.6,"26,614",2.6,"1,100,167",1.6
nv,"3,976,917",2.3,"49,501",3.8,"2,199,335",2.4
nh,"2,261,417",2.6,"26,583",4.1,"1,099,011",2.2
nj,"8,711,262",1.4,"103,850",2.6,"5,177,853",1.5
nm,"1,889,608",1.9,"25,916",3.1,"1,044,367",2
ny,"21,092,369",1.2,"241,085",2.7,"13,094,297",1.5
nc,"9,958,597",1.7,"123,647",2.7,"5,236,274",1.6
nd,"1,176,202",2.1,"13,956",3.2,"578,708",2
oh,"10,651,026",1.6,"131,774",2.5,"5,847,384",1.6
ok,"3,636,632",1.9,"42,762",2.6,"1,841,441",1.8
or,"5,276,692",2.2,"69,624",3.7,"3,150,720",2.2
pa,"11,805,349",1.5,"146,127",2.5,"6,355,777",1.4
ri,"1,130,344",1.9,"16,337",3.4,"646,015",1.8
sc,"5,749,804",2.3,"72,229",3.3,"2,902,970",2.1
sd,"1,164,228",2.1,"15,299",3.4,"586,699",2.2
tn,"7,234,937",2,"88,568",2.9,"3,696,915",1.8
tx,"31,654,421",1.8,"299,940",2.4,"14,187,861",1.5
ut,"4,922,109",2.5,"61,890",3.9,"2,718,608",2.5
vt,"1,247,969",3.7,"13,256",4.4,"563,631",2.8
va,"7,993,453",1.5,"104,273",2.6,"4,492,709",1.4
wa,"10,274,679",1.7,"113,933",3.3,"5,802,181",1.8
wv,"1,398,432",1.8,"18,073",2.7,"640,986",1.6
wi,"7,783,575",2.3,"87,243",3,"4,182,068",2.1
wy,"1,246,258",3.4,"14,187",5.1,"627,761",3.4